Gender,FirstGen,GPA,NumComplete,NumPossible
M,NotFirstGen,3.41,2,9
M,NotFirstGen,3.41,6,9
F,NotFirstGen,3.42,2,9
F,NotFirstGen,3.42,4,9
F,NotFirstGen,3.42,6,9
F,NotFirstGen,3.43,1,9
F,NotFirstGen,3.43,2,9
F,NotFirstGen,3.43,5,9
M,FirstGen,3.43,3,9
M,NotFirstGen,3.44,2,9
M,FirstGen,3.44,4,9
M,NotFirstGen,3.44,5,9
F,NotFirstGen,3.45,2,9
F,FirstGen,3.45,5,9
F,NotFirstGen,3.45,5,9
M,NotFirstGen,3.45,4,9
M,NotFirstGen,3.45,6,9
F,NotFirstGen,3.46,2,9
F,NotFirstGen,3.46,2,9
M,NotFirstGen,3.47,5,9
F,NotFirstGen,3.48,3,9
F,FirstGen,3.48,5,9
F,NotFirstGen,3.48,6,9
F,NotFirstGen,3.49,2,9
M,NotFirstGen,3.49,5,9
F,NotFirstGen,3.5,2,9
F,FirstGen,3.5,3,9
F,NotFirstGen,3.5,6,9
F,NotFirstGen,3.5,6,9
F,NotFirstGen,3.51,6,9
M,NotFirstGen,3.51,5,9
F,NotFirstGen,3.52,3,9
F,NotFirstGen,3.52,4,9
M,NotFirstGen,3.52,4,9
F,NotFirstGen,3.53,3,9
F,NotFirstGen,3.53,6,9
F,NotFirstGen,3.54,6,9
M,NotFirstGen,3.54,3,9
M,NotFirstGen,3.54,5,9
F,NotFirstGen,3.55,3,9
F,NotFirstGen,3.55,5,9
M,NotFirstGen,3.55,4,9
F,NotFirstGen,3.56,4,9
F,NotFirstGen,3.57,2,9
F,NotFirstGen,3.57,2,9
F,NotFirstGen,3.57,4,9
F,NotFirstGen,3.57,6,9
M,NotFirstGen,3.57,4,9
F,NotFirstGen,3.58,5,9
F,FirstGen,3.58,6,9
F,NotFirstGen,3.58,7,9
F,NotFirstGen,3.6,4,9
F,NotFirstGen,3.6,6,9
F,FirstGen,3.6,6,9
M,NotFirstGen,3.6,6,9
F,NotFirstGen,3.61,2,9
F,NotFirstGen,3.61,4,9
F,NotFirstGen,3.61,7,9
F,NotFirstGen,3.62,3,9
F,FirstGen,3.64,4,9
F,NotFirstGen,3.64,5,9
F,NotFirstGen,3.65,2,9
M,NotFirstGen,3.65,2,9
M,NotFirstGen,3.65,4,9
F,NotFirstGen,3.66,3,9
F,NotFirstGen,3.66,5,9
F,NotFirstGen,3.66,6,9
M,NotFirstGen,3.66,5,9
M,NotFirstGen,3.66,6,9
F,NotFirstGen,3.67,6,9
F,NotFirstGen,3.67,6,9
M,NotFirstGen,3.67,1,9
M,FirstGen,3.67,1,9
F,NotFirstGen,3.68,4,9
F,NotFirstGen,3.68,4,9
F,NotFirstGen,3.69,3,9
M,NotFirstGen,3.69,2,9
M,NotFirstGen,3.69,4,9
M,NotFirstGen,3.69,4,9
M,NotFirstGen,3.69,6,9
M,NotFirstGen,3.69,6,9
F,NotFirstGen,3.7,4,9
F,NotFirstGen,3.71,2,9
F,NotFirstGen,3.71,5,9
F,NotFirstGen,3.71,7,9
M,FirstGen,3.71,4,9
F,NotFirstGen,3.72,3,9
F,NotFirstGen,3.72,4,9
M,NotFirstGen,3.72,2,9
F,NotFirstGen,3.73,4,9
M,NotFirstGen,3.73,5,9
M,NotFirstGen,3.73,6,9
M,NotFirstGen,3.74,3,9
F,NotFirstGen,3.76,2,9
F,NotFirstGen,3.76,4,9
F,NotFirstGen,3.77,1,9
F,NotFirstGen,3.77,2,9
F,NotFirstGen,3.77,5,9
M,NotFirstGen,3.77,1,9
M,NotFirstGen,3.77,5,9
F,NotFirstGen,3.79,5,9
F,NotFirstGen,3.79,6,9
M,NotFirstGen,3.79,2,9
F,NotFirstGen,3.8,4,9
M,NotFirstGen,3.8,4,9
M,NotFirstGen,3.8,4,9
F,NotFirstGen,3.81,3,9
M,NotFirstGen,3.81,6,9
F,FirstGen,3.82,2,9
F,NotFirstGen,3.82,4,9
F,NotFirstGen,3.82,6,9
F,NotFirstGen,3.83,6,9
F,NotFirstGen,3.83,5,9
M,NotFirstGen,3.83,1,9
F,NotFirstGen,3.84,5,9
M,NotFirstGen,3.84,2,9
F,FirstGen,3.85,6,9
F,NotFirstGen,3.89,2,9
F,NotFirstGen,3.89,5,9
F,NotFirstGen,3.9,1,9
F,NotFirstGen,3.9,1,9
F,NotFirstGen,3.9,6,9
F,NotFirstGen,3.92,5,9
M,NotFirstGen,3.92,1,9
F,NotFirstGen,3.93,6,9
M,NotFirstGen,3.93,4,9
F,NotFirstGen,3.94,6,9
F,FirstGen,3.94,2,9
F,NotFirstGen,3.94,5,9
F,NotFirstGen,3.97,4,9
F,NotFirstGen,3.97,3,9
M,NotFirstGen,3.99,3,9
M,NotFirstGen,4,2,9
